restaurant_id,name,rating,review_count,price,phone,display_phone,url,image_url,is_closed,categories,address,city,state,zip_code,latitude,longitude,search_term,confidence_score,crawled_at,sources,website,types,source
bjPUhanWoinHi2kywvVzBA,Mercato BYOB,3.9,798,$$$,+12159852962,(215) 985-2962,https://www.yelp.com/biz/mercato-byob-philadelphia?adjust_creative=duXHCGAP-WXzIfawKeK1Xw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=duXHCGAP-WXzIfawKeK1Xw,https://s3-media0.fl.yelpcdn.com/bphoto/tNtkrH2ej9V1wkxipD9KjQ/o.jpg,False,['Italian'],1216 Spruce St,Philadelphia,PA,19107,39.94646,-75.16177,BYOB Philadelphia,High,2025-10-16T19:10:25.157439,['Unknown'],,,
-Ti5pwj6mA99khsxxur8aQ,Ambrosia Ristorante BYOB,4.4,333,,+12157032010,(215) 703-2010,https://www.yelp.com/biz/ambrosia-ristorante-byob-philadelphia?adjust_creative=duXHCGAP-WXzIfawKeK1Xw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=duXHCGAP-WXzIfawKeK1Xw,https://s3-media0.fl.yelpcdn.com/bphoto/m7DVP_VxDrLodUmN_CskYg/o.jpg,False,"['Italian', 'Breakfast & Brunch']",231 S 24th St,Philadelphia,PA,19103,39.94997,-75.1796,BYOB Philadelphia,High,2025-10-16T19:10:25.401959,['Unknown'],,,
bJ1XF-1VhhhwWn_Z3Mk6GA,Wanda BYOB,4.6,95,,+18565208114,(856) 520-8114,https://www.yelp.com/biz/wanda-byob-haddonfield?adjust_creative=duXHCGAP-WXzIfawKeK1Xw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=duXHCGAP-WXzIfawKeK1Xw,https://s3-media0.fl.yelpcdn.com/bphoto/l0RB90q5C3BhtO2VSBrb5g/o.jpg,False,"['New American', 'French']",116 Kings Hwy E,Haddonfield,NJ,08033,39.89683,-75.0334,bring your own wine Philadelphia,High,2025-10-16T19:10:29.947948,['Unknown'],,,
dsxkmGJyQlQVca8aa03awg,June BYOB,4.2,105,,+18562407041,(856) 240-7041,https://www.yelp.com/biz/june-byob-collingswood?adjust_creative=duXHCGAP-WXzIfawKeK1Xw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=duXHCGAP-WXzIfawKeK1Xw,https://s3-media0.fl.yelpcdn.com/bphoto/MLMsNlgZKkKOE-606tCSRA/o.jpg,False,['French'],690 Haddon Ave,Collingswood,NJ,08108,39.916226,-75.069444,bring your own wine Philadelphia,High,2025-10-16T19:10:30.039517,['Unknown'],,,
ChIJ7SCFXlTHxokRcdR0vHyqwn4,Luna BYOB,4.7,145,,,,,,,,"227 S 20th St, Philadelphia, PA 19103, United States",,,,39.9496781,-75.1738043,BYOB Philadelphia,High,2025-10-16T19:10:59.995439,['Google Places'],,"['restaurant', 'point_of_interest', 'food', 'establishment']",Google Places
ChIJ_68vijvGxokR5M1A6b5y3iI,Bistro La Baia BYOB,4.6,390,,,,,,,,"1700 Lombard St, Philadelphia, PA 19146, United States",,,,39.9451755,-75.17026290000001,BYOB Philadelphia,High,2025-10-16T19:10:59.995896,['Google Places'],,"['restaurant', 'point_of_interest', 'food', 'establishment']",Google Places
ChIJZZhKRH_HxokRhrjLnwJ9dgA,La Sera Italiana BYOB,4.6,77,,,,,,,,"1608 South St, Philadelphia, PA 19146, United States",,,,39.9439675,-75.16915329999999,BYOB Philadelphia,High,2025-10-16T19:10:59.999567,['Google Places'],,"['restaurant', 'point_of_interest', 'food', 'establishment']",Google Places
ChIJwTNAtJ_IxokRRk7dk_j0DR8,Little Fish BYOB,4.8,404,,,,,,,,"746 S 6th St, Philadelphia, PA 19147, United States",,,,39.9400055,-75.1529437,BYOB Philadelphia,High,2025-10-16T19:11:00.029404,['Google Places'],,"['restaurant', 'point_of_interest', 'food', 'establishment']",Google Places
ChIJJU7L2zzHxokRH-42qOQSrWo,June BYOB,4.6,221,,,,,,,,"690 Haddon Ave, Collingswood, NJ 08108, United States",,,,39.916223,-75.0694259,BYOB Philadelphia,High,2025-10-16T19:11:00.053854,['Google Places'],,"['restaurant', 'point_of_interest', 'food', 'establishment']",Google Places
ChIJrZDlnm_IxokRbvXj5j5rJKs,Apricot Stone BYOB,4.7,620,,,,,,,,"428 W Girard Ave, Philadelphia, PA 19123, United States",,,,39.9698886,-75.1440385,bring your own wine Philadelphia,High,2025-10-16T19:11:03.717893,['Google Places'],,"['restaurant', 'food', 'point_of_interest', 'establishment']",Google Places
ChIJJ6o2n7fHxokR9ivl387HeII,Trio BYOB & Trio2Go,4.5,153,,,,,,,,"2601 Pennsylvania Ave CU5, Philadelphia, PA 19130, United States",,,,39.9687792,-75.1807718,bring your own bottle Philadelphia,High,2025-10-16T19:11:07.756053,['Google Places'],,"['restaurant', 'food', 'point_of_interest', 'establishment']",Google Places
